epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,44648896.0,6681.98291015625,42003928.0,6481.0439453125
1,44275632.0,6653.99365234375,41065532.0,6408.2392578125
2,41515360.0,6443.2412109375,35387432.0,5948.73388671875
3,30073448.0,5483.92626953125,17940152.0,4235.58154296875
4,9767032.0,3125.22509765625,4473297.0,2115.01708984375
5,4248265.0,2061.132080078125,4411017.0,2100.2421875
6,3842295.25,1960.1773681640625,3511420.0,1873.8782958984375
7,2670052.75,1634.0296630859375,2090960.375,1446.015380859375
8,1600092.375,1264.9476318359375,1138285.25,1066.904541015625
9,897013.3125,947.1078491210938,549585.5625,741.3403930664062
10,476222.8125,690.0889892578125,216707.3125,465.5183410644531
11,277929.5,527.190185546875,123804.65625,351.8588562011719
12,182118.21875,426.75311279296875,80533.9765625,283.78509521484375
13,124286.1875,352.5424499511719,39368.6796875,198.41542053222656
14,88359.9375,297.2539978027344,28304.38671875,168.23907470703125
15,70400.515625,265.3309631347656,32672.11328125,180.75428771972656
16,50357.7265625,224.4052734375,22894.888671875,151.31057739257812
17,45279.76953125,212.79043579101562,66750.296875,258.36077880859375
18,48882.67578125,221.09426879882812,14850.0869140625,121.86093139648438
19,32783.68359375,181.06265258789062,19922.353515625,141.1465606689453
20,28052.33984375,167.4883270263672,13278.3173828125,115.23158264160156
21,26074.02734375,161.47454833984375,18740.060546875,136.89434814453125
22,26669.74609375,163.30874633789062,16309.8955078125,127.710205078125
23,22635.2421875,150.45013427734375,10988.888671875,104.8279037475586
24,25195.84765625,158.73199462890625,11138.6025390625,105.53958129882812
25,26314.125,162.21629333496094,17044.912109375,130.55616760253906
26,20299.146484375,142.47506713867188,22420.560546875,149.73497009277344
27,16850.626953125,129.80996704101562,19009.01171875,137.8731689453125
28,20937.134765625,144.6967010498047,12391.8818359375,111.31883239746094
29,20855.359375,144.41384887695312,14657.220703125,121.06700897216797
30,19178.1015625,138.48501586914062,11955.322265625,109.34039306640625
31,19945.9765625,141.230224609375,19802.763671875,140.7222900390625
32,16532.810546875,128.57997131347656,10451.1796875,102.23101043701172
33,15665.28515625,125.1610336303711,12124.02734375,110.10916137695312
34,15712.189453125,125.34827423095703,10414.9677734375,102.05374908447266
35,20611.310546875,143.56639099121094,31424.73046875,177.2702178955078
36,26111.15625,161.58946228027344,11772.4287109375,108.50082397460938
37,16024.2978515625,126.58711242675781,14587.279296875,120.7778091430664
38,15225.8056640625,123.39289093017578,10123.216796875,100.61419677734375
39,18139.228515625,134.68194580078125,17024.181640625,130.47674560546875
40,15707.0634765625,125.32782745361328,9911.001953125,99.55401611328125
41,16692.6796875,129.2001495361328,17521.6015625,132.3691864013672
42,16213.740234375,127.33318328857422,14755.3251953125,121.47149658203125
43,15525.76171875,124.6024169921875,37668.9609375,194.08493041992188
44,14997.6396484375,122.46485137939453,9340.0859375,96.64411926269531
45,16094.11328125,126.86257934570312,10661.775390625,103.25587463378906
46,14026.3857421875,118.43304443359375,18414.1328125,135.6986846923828
47,19849.076171875,140.88674926757812,13771.54296875,117.35221862792969
48,18400.24609375,135.6475067138672,31235.517578125,176.73573303222656
49,23965.091796875,154.80662536621094,27271.013671875,165.13937377929688
50,19169.640625,138.4544677734375,13950.521484375,118.1123275756836
51,14436.9873046875,120.15401458740234,10124.3330078125,100.61974334716797
52,17506.78125,132.3131866455078,11503.236328125,107.25314331054688
53,16541.560546875,128.61399841308594,11476.275390625,107.12738037109375
54,15628.826171875,125.01530456542969,21622.666015625,147.04647827148438
55,17861.904296875,133.6484375,8295.0712890625,91.07728576660156
56,16217.1298828125,127.34649658203125,11517.5087890625,107.31965637207031
0,46882000.0,6847.04296875,34179380.0,5846.3134765625
1,46824016.0,6842.8076171875,34090172.0,5838.67919921875
2,46625264.0,6828.26953125,33784884.0,5812.4765625
3,46005388.0,6782.72705078125,32883276.0,5734.39404296875
4,44327556.0,6657.89404296875,30613508.0,5532.947265625
5,40375404.0,6354.1640625,25724050.0,5071.88818359375
6,32634138.0,5712.6298828125,17069202.0,4131.4892578125
7,20556382.0,4533.91455078125,6558096.5,2560.878173828125
8,8992273.0,2998.7119140625,1759089.875,1326.306884765625
9,4931199.0,2220.63037109375,2711362.25,1646.6214599609375
10,4789125.0,2188.406982421875,2126892.25,1458.3868408203125
11,4469698.0,2114.166015625,1835758.125,1354.9014892578125
12,3841074.0,1959.8658447265625,1661802.125,1289.1090087890625
13,3123745.0,1767.4119873046875,1174900.875,1083.928466796875
14,2504530.75,1582.5709228515625,874119.125,934.943359375
15,1959613.0,1399.86181640625,693010.8125,832.4727172851562
16,1456141.875,1206.70703125,474039.5625,688.5053100585938
17,1073862.375,1036.2733154296875,290985.1875,539.430419921875
18,795758.75,892.0531005859375,185508.625,430.7071228027344
19,591533.8125,769.1123657226562,126478.3359375,355.637939453125
20,449469.84375,670.4251098632812,94010.5078125,306.611328125
21,356584.1875,597.146728515625,77454.5546875,278.30657958984375
22,277413.875,526.700927734375,40138.1484375,200.34507751464844
23,221943.21875,471.1084899902344,40330.05859375,200.82345581054688
24,173595.203125,416.6475830078125,27779.580078125,166.6720733642578
25,138379.890625,371.9944763183594,20058.41015625,141.62771606445312
26,105604.1796875,324.96795654296875,14632.849609375,120.96631622314453
27,89076.7109375,298.45721435546875,9984.9755859375,99.92485046386719
28,82287.6015625,286.858154296875,26611.06640625,163.1289825439453
29,78572.578125,280.3080139160156,19571.376953125,139.89773559570312
30,55111.71484375,234.75885009765625,6281.64306640625,79.25682067871094
31,49762.51171875,223.0751190185547,10408.017578125,102.01969146728516
32,51334.71875,226.57167053222656,7239.1123046875,85.08296966552734
33,36224.484375,190.32730102539062,9897.759765625,99.48748779296875
34,39669.27734375,199.17147827148438,7582.36083984375,87.07675170898438
35,30117.462890625,173.54383850097656,4412.26416015625,66.42487335205078
36,27032.822265625,164.41661071777344,11848.03125,108.84866333007812
37,25960.779296875,161.1234893798828,11764.216796875,108.46297454833984
38,30279.0078125,174.00863647460938,6583.40185546875,81.13816833496094
39,32110.2734375,179.19338989257812,13756.1171875,117.2864761352539
40,27139.931640625,164.7420196533203,6860.93896484375,82.8307876586914
41,35741.87109375,189.05520629882812,8177.33935546875,90.42864227294922
42,25029.376953125,158.20675659179688,4104.49267578125,64.06631469726562
43,25703.462890625,160.322998046875,19681.404296875,140.29043579101562
44,26335.529296875,162.28225708007812,5351.72998046875,73.155517578125
45,22345.328125,149.48353576660156,6261.59130859375,79.13021850585938
46,26899.52734375,164.01075744628906,39015.125,197.5224609375
47,23223.689453125,152.39320373535156,6170.958984375,78.55545043945312
48,18958.9609375,137.69154357910156,4748.69775390625,68.91079711914062
49,25536.15234375,159.80035400390625,12746.35546875,112.8997573852539
50,24704.2578125,157.17588806152344,8308.9306640625,91.15333557128906
